Weekday,HOEP,Ontario_Demand,Temperature,Windchill_Index,Wind_Speed,Humidex,Relative_Humidity,Dew_Point,Pressure_Station,Date_Time
0,0.49,14023.0,-0.3,-5.62,20.0,-3.18,70.0,-5.1,99.67,2016-01-01 00:00:00
0,0.55375,13417.0,-0.3,-6.3,25.0,-3.48,68.0,-5.5,99.63,2016-01-01 01:00:00
0,0.6174999999999999,12968.0,-0.4,-6.55,26.0,-3.43,73.0,-4.7,99.59,2016-01-01 02:00:00
0,0.68125,13092.7,-0.5700000000000001,-6.7669999999999995,25.7,-3.5730000000000004,73.3,-4.8100000000000005,99.57000000000001,2016-01-01 03:00:00
0,0.745,13217.4,-0.74,-6.984,25.4,-3.716,73.6,-4.92,99.55,2016-01-01 04:00:00
0,0.80875,13342.1,-0.91,-7.2010000000000005,25.1,-3.859,73.9,-5.03,99.53,2016-01-01 05:00:00
0,0.8725,13466.8,-1.08,-7.418,24.8,-4.002000000000001,74.2,-5.14,99.51,2016-01-01 06:00:00
0,0.93625,13591.5,-1.25,-7.635,24.5,-4.1450000000000005,74.5,-5.25,99.49000000000001,2016-01-01 07:00:00
0,1.0,13716.2,-1.42,-7.852,24.2,-4.288,74.8,-5.359999999999999,99.47,2016-01-01 08:00:00
0,6.34,13840.9,-1.5900000000000003,-8.069,23.9,-4.431,75.1,-5.47,99.45,2016-01-01 09:00:00
0,5.88,13965.6,-1.7600000000000002,-8.286000000000001,23.6,-4.574,75.4,-5.58,99.43,2016-01-01 10:00:00
0,5.81,14090.3,-1.9300000000000002,-8.503,23.3,-4.7170000000000005,75.7,-5.6899999999999995,99.41,2016-01-01 11:00:00
0,5.7,14215.0,-2.1,-8.72,23.0,-4.86,76.0,-5.8,99.39,2016-01-01 12:00:00
0,6.51,14443.0,-2.4,-8.23,19.0,-5.09,84.0,-4.7,99.35,2016-01-01 13:00:00
0,2.75,14733.0,-2.4,-9.96,32.0,-5.42,81.0,-5.2,99.32,2016-01-01 14:00:00
0,2.8728571428571428,14907.0,-2.2,-9.75,29.0,-5.59,71.0,-6.8,99.34,2016-01-01 15:00:00
0,2.9957142857142856,14981.0,-2.3,-9.51,27.0,-5.79,68.0,-7.4,99.38,2016-01-01 16:00:00
0,3.1185714285714283,15763.0,-3.1,-11.19,35.0,-5.82,71.0,-7.6,99.41,2016-01-01 17:00:00
0,3.2414285714285715,16979.0,-2.9,-11.19,35.0,-6.39,71.0,-7.4,99.48,2016-01-01 18:00:00
0,3.3642857142857143,16859.0,-2.8,-10.41,28.0,-6.34,73.0,-7.0,99.54,2016-01-01 19:00:00
0,3.487142857142857,16552.0,-3.1,-10.16,26.0,-6.22,73.0,-7.3,99.57,2016-01-01 20:00:00
0,3.61,16165.0,-3.4,-10.67,27.0,-6.66,74.0,-7.4,99.58,2016-01-01 21:00:00
0,7.49,15701.0,-3.0,-10.54,26.0,-6.48,72.0,-7.4,99.61,2016-01-01 22:00:00
0,12.36,14866.0,-3.1,-10.28,28.0,-6.51,71.0,-7.6,99.6,2016-01-01 23:00:00
1,10.72,14164.0,-3.6,-10.93,26.0,-6.76,70.0,-8.3,99.63,2016-01-02 00:00:00
1,11.25,13251.0,-4.0,-11.44,26.0,-7.31,71.0,-8.5,99.62,2016-01-02 01:00:00
1,9.1775,12844.0,-3.2,-11.71,27.0,-7.01,65.0,-8.9,99.6,2016-01-02 02:00:00
1,7.105,12673.0,-3.2,-7.26,10.0,-6.96,67.0,-8.5,99.58,2016-01-02 03:00:00
1,5.032500000000001,12770.75,-2.975,-7.43,12.0,-6.64,68.25,-8.05,99.525,2016-01-02 04:00:00
1,2.96,12868.5,-2.75,-7.6,14.0,-6.32,69.5,-7.6,99.47,2016-01-02 05:00:00
1,5.85,12966.25,-2.525,-7.7700000000000005,16.0,-6.0,70.75,-7.15,99.41499999999999,2016-01-02 06:00:00
1,5.6,13064.0,-2.3,-7.94,18.0,-5.68,72.0,-6.7,99.36,2016-01-02 07:00:00
1,1.82,13780.0,-2.4,-7.38,15.0,-5.79,72.0,-6.8,99.37,2016-01-02 08:00:00
1,3.3899999999999997,14305.0,-2.1,-8.11,19.0,-5.5,74.0,-6.1,99.37,2016-01-02 09:00:00
1,4.96,15068.0,-1.7,-8.19,22.0,-5.04,74.0,-5.7,99.41,2016-01-02 10:00:00
1,6.529999999999999,15536.0,-1.5,-6.51,15.0,-4.77,75.0,-5.4,99.39,2016-01-02 11:00:00
1,8.1,15852.0,-1.1,-7.43,22.0,-4.34,74.0,-5.2,99.28,2016-01-02 12:00:00
1,7.182499999999999,16059.0,-0.8,-7.57,27.0,-4.02,73.0,-5.1,99.18,2016-01-02 13:00:00
1,6.265,15750.0,-0.5,-6.54,22.0,-3.73,71.0,-5.1,99.13,2016-01-02 14:00:00
1,5.3475,15564.0,-0.5,-5.72,19.0,-3.68,69.0,-5.5,99.07,2016-01-02 15:00:00
1,4.43,15571.0,-0.7,-5.97,19.0,-3.76,70.0,-5.5,99.05,2016-01-02 16:00:00
1,3.5124999999999993,16207.0,-0.8,-6.38,20.0,-4.03,69.0,-5.8,99.03,2016-01-02 17:00:00
1,2.5949999999999998,17163.0,-0.6,-6.81,23.0,-3.95,68.0,-5.8,99.04,2016-01-02 18:00:00
1,1.6775000000000002,17100.0,-0.5,-6.8,26.0,-3.65,70.0,-5.3,98.97,2016-01-02 19:00:00
1,0.76,16710.0,-0.4,-7.15,29.0,-3.65,70.0,-5.2,98.88,2016-01-02 20:00:00
1,2.965,16124.0,-0.1,-7.13,30.0,-3.16,74.0,-4.2,98.74,2016-01-02 21:00:00
1,5.17,15699.0,0.3,-5.91,24.0,-2.69,74.0,-3.8,98.65,2016-01-02 22:00:00
1,5.89,14983.0,0.1,-5.9,26.0,-2.77,75.0,-3.8,98.57,2016-01-02 23:00:00
1,9.27,15533.0,-0.1,-5.79,23.0,-2.62,76.0,-3.8,98.54,2016-01-03 00:00:00
1,21.67,13432.0,0.2,-7.07,32.0,-2.79,71.0,-4.5,98.44,2016-01-03 01:00:00
1,20.89,13355.5,0.26666666666666666,-6.7283333333333335,30.333333333333332,-2.72,71.33333333333333,-4.366666666666667,98.45833333333333,2016-01-03 02:00:00
1,22.63,13279.0,0.33333333333333337,-6.386666666666667,28.666666666666668,-2.65,71.66666666666667,-4.233333333333333,98.47666666666666,2016-01-03 03:00:00
1,26.69,13202.5,0.4,-6.045,27.0,-2.58,72.0,-4.1,98.495,2016-01-03 04:00:00
1,14.64,13126.0,0.4666666666666667,-5.703333333333333,25.333333333333332,-2.5100000000000002,72.33333333333333,-3.966666666666667,98.51333333333334,2016-01-03 05:00:00
1,25.69,13049.5,0.5333333333333333,-5.361666666666666,23.666666666666664,-2.44,72.66666666666667,-3.8333333333333335,98.53166666666667,2016-01-03 06:00:00
1,6.36,12973.0,0.6,-5.02,22.0,-2.37,73.0,-3.7,98.55,2016-01-03 07:00:00
1,5.6,13613.0,0.4,-4.59,19.0,-2.15,79.0,-2.8,98.61,2016-01-03 08:00:00
1,4.173333333333333,14155.0,1.1,-5.87,28.0,-1.81,72.0,-3.4,98.63,2016-01-03 09:00:00
1,2.7466666666666666,14696.0,1.4,-4.7,28.0,-1.56,69.0,-3.7,98.71,2016-01-03 10:00:00
1,1.32,15182.0,1.6,-3.87,23.0,-1.17,73.0,-2.7,98.76,2016-01-03 11:00:00
1,9.81,15434.0,0.0,-7.53,40.0,-1.29,70.0,-4.8,98.86,2016-01-03 12:00:00
1,18.86,15650.0,-0.8,-8.38,39.0,-2.61,63.0,-7.0,98.9,2016-01-03 13:00:00
1,15.91,15533.0,-1.4,-9.3,32.0,-3.88,63.0,-7.6,99.03,2016-01-03 14:00:00
1,14.51,15602.0,-2.3,-9.24,28.0,-5.2,61.0,-8.8,99.15,2016-01-03 15:00:00
1,5.89,15748.0,-3.1,-10.28,27.0,-5.65,65.0,-8.8,99.25,2016-01-03 16:00:00
1,14.34,16863.0,-4.3,-12.75,36.0,-6.65,70.0,-9.0,99.38,2016-01-03 17:00:00
1,13.89,18423.0,-5.3,-13.13,28.0,-8.27,69.0,-10.1,99.48,2016-01-03 18:00:00
1,13.31,18512.0,-5.9,-12.51,19.0,-9.08,68.0,-10.9,99.58,2016-01-03 19:00:00
1,11.49,18259.0,-6.7,-13.95,21.5,-9.825,67.0,-11.850000000000001,99.675,2016-01-03 20:00:00
1,16.53,18006.0,-7.5,-15.39,24.0,-10.57,66.0,-12.8,99.77,2016-01-03 21:00:00
1,30.79,17347.0,-9.7,-18.84,28.0,-11.73,63.0,-15.5,99.85,2016-01-03 22:00:00
1,39.26,16606.0,-11.0,-19.12,20.0,-14.28,60.0,-17.3,99.93,2016-01-03 23:00:00
0,37.12,17238.0,-11.5,-20.15,22.0,-15.55,61.0,-17.6,99.93,2016-01-04 00:00:00
0,30.54,14809.0,-11.4,-19.45,18.0,-16.06,63.0,-17.1,99.94,2016-01-04 01:00:00
0,27.53,14480.0,-11.4,-20.08,21.0,-15.94,64.0,-16.9,99.96,2016-01-04 02:00:00
0,25.26,14295.0,-11.8,-20.72,23.0,-16.05,64.0,-17.3,100.04,2016-01-04 03:00:00
0,3.1,14365.0,-12.45,-21.35,22.0,-16.564999999999998,65.5,-17.65,100.125,2016-01-04 04:00:00
0,29.23,14435.0,-13.1,-21.98,21.0,-17.08,67.0,-18.0,100.21,2016-01-04 05:00:00
